i,x,y
1,2.99,7.89759267
2,2.99,5.767963289
3,2.99,6.616897933
4,2.99,4.343115791
5,1.99,7.95775786
6,1.99,6.422169819
7,2.99,5.80994518
8,2.99,7.129074015
9,2.29,7.203365741
10,2.99,4.96312952
11,2.99,3.547958705
12,2.29,8.130398816
13,2.99,4.749258634
14,2.99,6.156452104
15,2.99,2.62793349
16,2.99,3.560298815
17,1.99,6.30900786
18,1.99,7.885449567
19,2.99,5.212713462
20,2.99,4.250113435
21,2.29,5.630515662
22,2.99,7.117387788
23,2.99,6.083199494
24,2.99,5.516275237
25,2.29,6.50140506
26,2.99,5.092544083
27,2.99,4.282085751
28,1.99,7.840123055
29,2.99,3.365686723
30,2.99,4.464116664
31,2.99,6.035636171
32,2.99,8.454299411
33,2.99,8.080234832
34,2.99,7.346148218
35,1.99,9.631790399
36,1.99,8.642275438
37,2.29,9.593003187
38,2.99,7.990050971
39,2.99,8.654971223
40,2.99,7.274525098
41,2.99,7.384412447
42,2.29,9.328647806
43,1.99,8.087734724
44,2.99,7.186103863
45,2.99,7.682061788
46,2.29,8.734438395
47,1.99,8.359886812
48,2.99,5.472802187
49,1.99,5.912675057
50,2.99,8.07972562
51,2.99,7.057555224
52,2.99,5.705961094
53,2.29,8.630531895
54,2.29,8.172403663
55,2.99,8.808545432
56,2.99,8.350989361
57,2.99,9.087203835
58,2.99,7.168997839
59,2.99,8.543018712
60,1.99,7.955603415
61,1.99,8.908640801
62,1.99,8.050893758
63,2.99,9.997782438
64,2.99,7.480795845
65,2.99,7.101779575
66,2.99,7.079571804
67,2.99,8.663200168
68,2.99,8.796911809
69,2.99,8.713840527
70,1.99,8.66847645
71,2.99,9.835911494
72,2.99,10.66452308
73,2.99,7.080917894
74,2.29,7.635877421
75,2.99,8.391360581
76,2.29,8.168460896
77,2.99,8.546534511
78,2.99,8.227005357
79,2.99,9.361425708
80,2.99,8.421871258
81,2.99,7.698201004
82,1.99,8.776570393
83,2.99,8.196724156
84,2.99,8.142498385
85,2.99,7.742795763
86,2.99,8.526391596
87,2.99,7.358140495
88,2.99,7.636645638
89,1.99,8.365027919
90,2.99,7.472310544
91,2.99,7.376497304
92,2.99,9.077883103
93,1.99,7.343457413
94,2.99,8.000971507
95,2.99,7.915427952
96,1.99,9.601334039
97,1.99,10.73685128
98,2.29,8.934227378
99,2.29,8.333134074
100,2.99,9.327103246
